Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Fővárosi Önkormányzat Halom Utcai Idősek Otthona,Buyer,15490782242,0,0.04207337,0.34425232,-1.0549499,0.77752084,3.9237502,28,0.0007344568864758889,1.5261220225390089e-10,0.006146879278047251,0.3719265,3.5762787e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Székely és Társa Kereskedelmi Kft.,Winner,13546849216,0,0.03579836,0.3411108,-1.017781,0.76568127,3.880422,28,0.0,3.4120912871905283e-11,0.0010081004006772141,0.37258112,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Naturice Korlátolt Felelősségű Társaság,Winner,"25400263209,HU25400263",0,0.03876757,0.3233784,-1.1287534,0.7566196,3.6848059,28,5.9853711872714264e-05,8.902482981132905e-11,0.0016366523049826222,0.3807987,2.3841858e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
László és Szász Kft.,Winner,"13508034243,HU 1350834,Cg. 01-09-738874",0,0.035327192,0.33870432,-1.0346555,0.7395785,3.852789,28,0.0,3.4120912871905283e-11,0.0010081004006772141,0.37360218,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Egertej Tejipari Korlátolt Felelősségű Társaság,Winner,"11067555210,HU11067555",0,0.03806118,0.32479346,-0.9433597,0.78062665,3.6997635,28,0.0005491460242054066,1.3594302237862036e-10,0.003044060707316873,0.3826026,-2.3841858e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Pécsi Tudományegyetem,Buyer,EKRSZ_89809802,1,0.03157446,0.24979167,-0.63283014,0.7574865,2.8485577,32,0.12496977583749051,0.30523531763917094,0.038221435761955594,0.40931818,2.3841858e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Biocenter Kft. ,Winner,10363573-2-06,1,0.03513755,0.2478387,-0.57457364,0.7645289,2.832015,32,0.0,0.04577034945309765,0.0012099390406879317,0.41591972,2.3841858e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,Buyer,14605749244,2,-0.015826065,0.2867246,-0.72340786,0.7722587,3.2488563,24,0.06920843229462169,0.06532549666043953,0.024123050007085544,0.39081162,-1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
BG-Graspointner Kft.,Winner,13092182243,2,-0.02478979,0.28734386,-0.74142104,0.6874482,3.2630005,24,0.0,0.009794088358710568,0.0012466102843864744,0.3999154,-2.3841858e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
NISZ Nemzeti Infokommunikációs Szolgáltató Zrt.,Buyer,10585560244,3,0.040855482,0.2669758,-0.6845734,0.6822461,3.055649,32,0.030817938819032883,0.050434579853178604,0.009494821345040197,0.3870446,-5.9604645e-08,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Magyar Telekom Távközlési Nyilvánosan Működő Részvénytársaság,Winner,"10773381244,HU10773381",3,0.035513956,0.27511847,-0.5630379,0.7031224,3.1384363,32,0.0,0.007561878953719146,0.0011621518610796812,0.3816794,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
EXPO 2020 Magyarország Nonprofit Kft.,Buyer,26742832241,4,0.0272656,0.42301682,-0.9618119,1.0735515,4.7958198,4,3.39328130302002e-05,6.216303363255663e-29,0.00454824993686781,0.38998103,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Designland Creative Community Kft,Winner,"26542845243,HU26542845",4,0.025722679,0.41676024,-1.0348994,1.066282,4.724076,4,0.0,3.5889844201400334e-29,0.00164347434963806,0.39571854,2.3841858e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Médiaszolgáltatás - támogató és Vagyonkezelő Alap,Buyer,18091715444,5,-0.0041872635,0.24378003,-0.548402,0.55632657,2.7584631,31,0.10602729919015888,0.24615673852940065,0.02280397772260595,0.40873054,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
T-Systems Magyarország Zártkörűen Működő Részvénytársaság,Winner,"12928099244,HU12928099,01-10-044852",3,0.026547147,0.23299417,-0.6633108,0.69205713,2.6530836,32,0.13624924387400564,0.21198601742736184,0.006968641544348277,0.35394612,-1.7881393e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Országos Bírósági Hivatal,Buyer,15795960241,3,0.0024294052,0.2472194,-0.6555953,0.5306492,2.7971032,32,0.09443260471293079,0.13799841303515079,0.00961559640432848,0.37611887,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Arterior Komplex Korlátolt Felelősségű Társaság,Winner,"24822196208,HU24822196,08-09-025903",3,0.0115484875,0.2477987,-0.99456173,0.56925136,2.806565,32,0.0,0.020690144059845508,0.0010981437946231186,0.38376492,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Bábolna Nemzeti Ménesbirtok,Buyer,15833710211,17,0.009438221,0.32781324,-0.92516595,0.7426248,3.7103202,16,0.03084492704445198,0.0037566704608480426,0.004411948294796492,0.3823818,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
E.ON Energiakereskedelmi Korlátolt Felelősségű Társaság ,Winner,"24765648244,HU24765648,01-09-181155",17,0.010551842,0.29827967,-0.78608537,0.61944973,3.37676,16,0.04569618821400294,0.023353197695446797,0.006258462768876557,0.37273917,-5.9604645e-08,KL - Egyéb tevékenység:,U - Közjogi intézmény,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
