Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
NFSI Nemzeti Fejlesztési és Stratégiai Intézet Nonprofit Kft.|Klebelsberg Központ,Buyer,25118764241|15799658241,0,0.022054631,0.2728199,-0.67238736,0.722229,3.096674,35,0.12368473512397105,0.07168458781362007,0.029823615234159686,0.3811989,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
HC Építő Korlátolt Felelősségű Társaság,Winner,"13792590243,HU13792590",0,0.025487296,0.26441893,-0.87668157,0.641028,3.005424,35,0.0,0.0035842293906810036,0.0018028777187558184,0.3833057,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.",Buyer,12464780251,1,0.019123435,0.1867786,-0.3875691,0.41081643,2.1242058,43,0.6008498551549326,0.2007168458781362,0.08158228509451101,0.436989,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
"Nyírépszer Hungária Építőipari, Kereskedelmi és Szolgáltató Kft.",Winner,"11724483241,HU11724483",0,0.0229345,0.21551591,-0.5190685,0.5032636,2.4520516,35,0.05507268811399714,0.007168458781362007,0.0030408345188501656,0.37734997,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
"Sz+C Stúdió Építőipari, Kereskedelmi és Szolgáltató Kft.",Winner,11295145217,1,0.025079492,0.18853128,-0.38619527,0.50436485,2.1517777,43,0.0,0.0035842293906810036,0.0017736710858086329,0.4505674,3.5762787e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
"Bodrogi Bau Kivitelező, Tervező, Kereskedő és Szolgáltató Kft.",Winner,"11392668206,HU11392668",0,0.0151925385,0.26753935,-0.8983928,0.74205065,3.0317388,35,0.0,0.0035842293906810036,0.0018028777187558184,0.38977703,-1.7881393e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Ács- és Állványozó Korlátolt Felelősségű Társaság,Winner,10483327217,0,0.02368489,0.26319444,-0.90501076,0.72321105,2.989738,35,0.0,0.0035842293906810036,0.0018028777187558184,0.39560765,-1.7881393e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,Buyer,11906522241,2,0.0095875,0.21245097,-0.49292806,0.52268726,2.4060545,41,0.4298027134830108,0.1935483870967742,0.0760131928513979,0.45316055,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
GRANDER HOME Korlátolt Felelősségű Társaság|Richlik Trans Kft.,Winner,"24944234213,HU24944234|10685079213,HU10685079",2,0.010582941,0.2038722,-0.50058895,0.4387304,2.3096561,41,0.0,0.0035842293906810036,0.001731849470124241,0.47242433,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Magyar Alagútépítő és Bányászati Korlátolt Felelősségű Társaság,Winner,13775502413,2,0.01443743,0.2187815,-0.5802977,0.49530867,2.4806137,41,0.0,0.0035842293906810036,0.001731849470124241,0.45149988,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
STRABAG Általános Építő Korlátolt Felelősségű Társaság,Winner,"11705053444,01-09-930940",3,0.003997808,0.22355968,-0.5655932,0.5842527,2.5296936,44,0.0134153277762862,0.007168458781362007,0.0029573074143828247,0.44651845,-1.7881393e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
STRABAG Építő Korlátolt Felelősségű Társaság,Winner,"12961555443,01-09-728620",2,0.0019965665,0.2185613,-0.5459694,0.4968345,2.4728422,41,0.0,0.0035842293906810036,0.001731849470124241,0.46034452,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
STRABAG Építő Korlátolt Felelősségű Társaság|DUNA ASZFALT Út és Mélyépítő Korlátolt Felelősségű Társaság,Winner,"12961555443,01-09-728620|11426628403",2,0.013712874,0.21144971,-0.5714242,0.45244363,2.3973057,41,0.0,0.0035842293906810036,0.001731849470124241,0.4545776,-2.3841858e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
ZÁÉV Építőipari Zártkörűen Működő Részvénytársaság|Magyar Építő Zártkörűen Működő Részvénytársaság,Winner,"10738885220,HU10738885|10759358244",1,0.014667006,0.18969469,-0.40895548,0.4425431,2.1525557,43,0.0,0.0035842293906810036,0.0017736710858086329,0.43974403,-5.9604645e-08,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Magyar Közút Nonprofit Zártkörűen Működő Részvénytársaság,Buyer,14605749244,3,0.017621022,0.24098991,-0.518978,0.7316126,2.7337685,44,0.22138919846044466,0.16845878136200718,0.06778112153077727,0.43011975,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
KE-VÍZ 21 Építőipari zártkörűen működő Részvénytársaság|ZEMPLÉNKŐ Kelet-magyarországi Építőipari Fővállalkozó és Bányászati Korlátolt Felelősségű Társaság|STRABAG Általános Építő Korlátolt Felelősségű Társaság|Duna Aszfalt Út és Mélyépítő Zártkörűen Működő Részvénytársaság,Winner,"11876566215,HU11876566|12523326215,HU12523326|11705053444,01-09-930940|28733232403,HU17780890",3,0.0057756817,0.23051755,-0.524587,0.60899395,2.6088269,44,0.0,0.0035842293906810036,0.0017611722299728694,0.42836684,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
"""Soltút"" Útépítő, Fenntartó és Kereskedelmi Korlátolt Felelősségű Társaság",Winner,10642166203,3,0.002100211,0.20892774,-0.39460862,0.5870103,2.3638668,44,0.0134153277762862,0.007168458781362007,0.0029573074143828247,0.43793663,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Duna Aszfalt Út és Mélyépítő Zártkörűen Működő Részvénytársaság,Winner,28733232403,3,0.0037724944,0.2534535,-0.54597265,0.584736,2.8678164,44,0.019913355160830124,0.010752688172043012,0.004495203653060974,0.4037254,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Colas Út Építőipari Zártkörűen Működő Részvénytársaság,Winner,14904134244,4,0.0029988391,0.22858067,-0.5383286,0.45365247,2.5863175,17,0.04073777607662389,0.017921146953405017,0.006740999942616883,0.3919063,-1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
KE-VÍZ 21 Építőipari zártkörűen működő Részvénytársaság|ZEMPLÉNKŐ Kelet-magyarországi Építőipari Fővállalkozó és Bányászati Korlátolt Felelősségű Társaság,Winner,11876566215|12523326215,3,0.004880866,0.23143332,-0.5546771,0.6054978,2.6189516,44,0.0,0.0035842293906810036,0.0017611722299728694,0.43830582,-1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
SWIETELSKY Magyarország Korlátolt Felelősségű Társaság,Winner,14300327244,4,0.009531349,0.22931814,-0.57239306,0.48158833,2.5966787,17,0.029444960080218328,0.014336917562724014,0.00518092645327519,0.42619547,0.0,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
"HE-DO Útépítő, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",Winner,10683833244,3,0.0014288798,0.21736027,-0.4765471,0.5056782,2.459204,44,0.0134153277762862,0.007168458781362007,0.0029573074143828247,0.44607192,-1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
EuroAszfalt Építő és Szolgáltató Korlátolt Felelősségű Társaság,Winner,13125811244,3,-0.00020081969,0.22146225,-0.57622343,0.54332316,2.5055602,44,0.0,0.0035842293906810036,0.0017611722299728694,0.43393832,-1.7881393e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
"STRABAG Általános Építő Korlátolt Felelősségű Társaság|EuroAszfalt Építő és Szolgáltató Korlátolt Felelősségű Társaság|""Soltút"" Útépítő, Fenntartó és Kereskedelmi Korlátolt Felelősségű Társaság",Winner,"11705053444,01-09-930940|13125811244,HU13125811|10642166203,HU10642166",3,0.005887509,0.23498562,-0.5790161,0.632815,2.659393,44,0.0,0.0035842293906810036,0.0017611722299728694,0.43439806,-1.7881393e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
"Duna Aszfalt Út és Mélyépítő Zártkörűen Működő Részvénytársaság|Colas Út Építőipari Zártkörűen Működő Részvénytársaság|""Soltút"" Útépítő, Fenntartó és Kereskedelmi Korlátolt Felelősségű Társaság",Winner,"28733232403,HU17780890|14904134244,HU14904134|10642166203,HU10642166",3,0.0052067228,0.23132358,-0.5930756,0.58876354,2.6177905,44,0.0,0.0035842293906810036,0.0017611722299728694,0.43352377,-1.7881393e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
STRABAG Általános Építő Korlátolt Felelősségű Társaság|Duna Aszfalt Út és Mélyépítő Zártkörűen Működő Részvénytársaság|Colas Út Építőipari Zártkörűen Működő Részvénytársaság,Winner,"11705053444,01-09-930940|28733232403,HU17780890|14904134244,HU14904134",3,0.0022221475,0.22929099,-0.59047556,0.5788931,2.5942533,44,0.0,0.0035842293906810036,0.0017611722299728694,0.42889935,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
NFSI Nemzeti Fejlesztési és Stratégiai Intézet Nonprofit Kft.|Honvédelmi Minisztérium Védelemgazdasági Hivatal,Buyer,25118764241|15714015251,6,0.07764185,0.32084113,-0.72242564,0.74327743,3.7346773,5,0.019416724684768315,0.014336917562724014,0.00722094007030033,0.3967341,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
2F-BAU Építőipari és Kereskedelmi Szolgáltató Korlátolt Felelősségű Társaság,Winner,"13103581242,HU13103581",6,0.072146274,0.32075801,-0.74623543,0.7179369,3.7196267,5,0.0,0.0035842293906810036,0.0020698176277092937,0.40014106,-2.3841858e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
NFSI Nemzeti Fejlesztési és Stratégiai Intézet Nonprofit Kft.|Belügyminisztérium Országos Katasztrófavédelmi Főigazgatóság,Buyer,25118764241|15722720251,7,0.022858694,0.2911817,-0.85178924,0.97455114,3.3044806,14,0.030646145467836585,0.02867383512544803,0.011110502327806011,0.36277235,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
Prím Építő Építőipari Kft.,Winner,"11906508242,HU11906508",7,0.008891703,0.2757923,-0.7945884,0.75940895,3.121855,14,0.0038410029784671997,0.007168458781362007,0.002959237190554061,0.3718677,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
MAGYAR GENERÁL ÉPÍTŐ Korlátolt felelősségű társaság,Winner,27937268205,0,0.02261383,0.26397797,-0.9386168,0.63459724,2.9975085,35,0.0,0.0035842293906810036,0.0018028777187558184,0.38804644,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
TIC Közlekedési Infrastruktúra Építő Kft.,Winner,"25003440243,HU25003440",2,0.0009754915,0.21044649,-0.5324258,0.45222014,2.3809557,41,0.0,0.0035842293906810036,0.001731849470124241,0.4571176,1.1920929e-07,KL - Egyéb tevékenység:,U - Közjogi intézmény,Építési beruházás,Uniós eljárásrend,Igen,Nem,Igen
