Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Grow Group Magyar-Holland Palántanevelő Kft.,Buyer,11394079206,151,0.029218601,0.33735964,-0.81465757,0.7516192,3.831077,14,0.0,0.203041152113661,0.0007318670503186339,0.40126783,0.0,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Global Glasshouse Kertészeti Beruházás Szervező és Kivitelező Korlátolt Felelősségű Társaság,Winner,11392194206,151,0.025639307,0.3391411,-0.8151501,0.7545064,3.8478928,14,0.00026881720430107527,0.6890089019469297,0.006851587384110013,0.39704478,0.0,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Kisújbányai Vadászház Korlátolt Felelősségű Társaság,Buyer,23859238202,1,0.023105603,0.41996616,-1.3237169,1.1839192,4.7585607,2,0.0,1.0200232667717265e-20,0.0013404825737265416,0.38925344,0.0,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Mecseki Vöröskő Építőipari Kivitelező és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"13325451243,HU13325451",1,0.022895876,0.41635802,-1.3084974,1.1895142,4.71767,2,0.0,1.0200232667717265e-20,0.0013404825737265416,0.38976568,0.0,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Kurca-Menti Beszerzési és Értékesítési Szövetkezet,Buyer,13053132206,2,-0.0742666,0.40682513,-1.0659791,0.9381537,4.6787653,2,0.0,1.0200232667717265e-20,0.0013404825737265416,0.39031982,1.1920929e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"AUTARK Szolgáltató, Beszerző és Értékesítő Kft.",Winner,10343458206,2,-0.07428004,0.4092921,-1.097892,0.94341815,4.706252,2,0.0,1.0200232667717265e-20,0.0013404825737265416,0.38583612,-2.3841858e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
OXO Properties Településfejlesztési Nonprofit Kft.|Kapolcs Község Önkormányzata,Buyer,26111320219|15427865119,3,0.0050959988,0.38866994,-0.8195374,1.1169614,4.3976765,3,0.0,3.975072750681494e-16,0.0010331741950710693,0.39492944,1.1920929e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"HETTYEI-ÉPTECH ÉPÍTŐIPARI, KERESKEDELMI ÉS SZOLGÁLTATÓ KFT",Winner,"14492028219,HU14492028",3,0.00049456954,0.3970779,-0.847261,1.1614381,4.4924273,3,3.608284621490943e-06,5.621601795433493e-16,0.001955099331037485,0.39639512,-1.1920929e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Tarnamajor Korlátolt Felelősségű Társaság,Buyer,14932768215,4,-0.030245228,0.4246049,-1.1545441,0.99281764,4.8160276,2,0.0,1.0200232667717265e-20,0.0013404825737265416,0.37681076,-1.1920929e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
KÉRCS-SZOLG Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,24292757215,4,-0.025224473,0.41332224,-1.1191902,1.0119804,4.6849074,2,0.0,1.0200232667717265e-20,0.0013404825737265416,0.3931235,0.0,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Körös-Maros Vidékfejlesztési és Ökogazdálkodási Alapítvány,Buyer,18387830204,5,-0.06311587,0.40015405,-0.9497762,0.95344687,4.583195,2,0.0,1.0200232667717265e-20,0.0013404825737265416,0.39106786,0.0,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Bozo-Architectura Kft.,Winner,11059651204,5,-0.062322535,0.4111302,-0.9593873,0.9744521,4.704546,2,0.0,1.0200232667717265e-20,0.0013404825737265416,0.38894448,1.1920929e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Innovatív Megoldás Szociális Szövetkezet,Buyer,24373616213,6,-0.039895043,0.41094083,-1.025954,0.97232866,4.6711226,2,0.0,1.0200232667717265e-20,0.0013404825737265416,0.39234224,2.3841858e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Barakk Mérnöki és Kereskedelmi Iroda Kft.,Winner,"11505808216,HU11505808",6,-0.041431896,0.41247693,-1.0312629,0.9844644,4.6901264,2,0.0,1.0200232667717265e-20,0.0013404825737265416,0.38614804,2.3841858e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
KIRÁLY Szabadidősport Egyesület,Buyer,18896596118,7,-0.054723892,0.40250993,-0.95025265,0.89457893,4.595775,2,0.0,1.0200232667717265e-20,0.0013404825737265416,0.39143613,0.0,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"Veres és Társai Kereskedelmi, Vendéglátó és Építőipari Korlátolt Felelősségű Társaság",Winner,"11513898218,HU11513898",7,-0.05903368,0.4026431,-0.9957485,0.89985734,4.604088,2,0.0,1.0200232667717265e-20,0.0013404825737265416,0.3850953,-2.9802322e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Juhász László,Buyer,73986894235,8,-0.043479364,0.4260149,-1.1090872,0.8818906,4.844846,2,0.0,1.0200232667717265e-20,0.0013404825737265416,0.38599035,-1.1920929e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Kálló-Bau Kft.,Winner,13776462215,8,-0.039273143,0.41230217,-1.0512273,0.8419522,4.68578,2,0.0,1.0200232667717265e-20,0.0013404825737265416,0.3930214,0.0,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Király-Márián Annamária egyéni vállalkozó,Buyer,66044310235,9,-0.023236528,0.380921,-0.9587201,0.9953325,4.31764,4,0.0,4.233099287646772e-13,0.0009307380688525791,0.39348948,-5.9604645e-08,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
KITE Mezőgazdasági Szolgáltató és Kereskedelmi Zártkörűen Működő Részvénytársaság,Winner,"10668586209,HU10668586",9,-0.027778499,0.39284557,-0.98762536,0.9437856,4.455638,4,1.0824853864472829e-05,7.33194303968783e-13,0.002569716088348429,0.39546937,-1.1920929e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Tóth Sándorné őstermelő,Buyer,75914015226,10,-0.021848366,0.4123081,-0.93056387,0.8567574,4.6712785,2,0.0,1.0200232667717265e-20,0.0013404825737265416,0.38517615,-1.1920929e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Z-Door Korlátolt Felelősségű Társaság,Winner,"24228437206,HU24228437",10,-0.023285598,0.41172647,-0.86151564,0.86561435,4.665597,2,0.0,1.0200232667717265e-20,0.0013404825737265416,0.3904665,2.3841858e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Egyházmegyei Katolikus Iskolák Főhatósága,Buyer,18724202113,11,-0.0581638,0.38451415,-1.1266116,1.0789013,4.39977,5,2.1649707728945658e-05,1.6668752699928914e-10,0.003184332845659373,0.3976569,-1.1920929e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Triangulár Kerskedelmi és Szolgáltató Korlátolt Felelőségű Társaság,Winner,"12639029242,12639029,01 09 179838",11,-0.0600364,0.3710091,-1.0209613,1.020892,4.2520905,5,0.0,8.334376349964457e-11,0.0008795200057433338,0.39772946,0.0,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
NEMESKERT Kertészeti Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Buyer,13425290206,151,0.02784539,0.3390545,-0.83019483,0.77120197,3.8488781,14,0.0,0.203041152113661,0.0007318670503186339,0.40289292,0.0,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Végh Róbert egyéni vállalkozó,Buyer,54531859240,12,0.012754478,0.4205307,-1.1587963,0.9778705,4.7599497,4,1.0824853864472829e-05,7.33194303968783e-13,0.002569716088348429,0.40630686,-2.3841858e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Mineral Invest Kft,Winner,"13208150218,HU13208150",12,0.010143615,0.4014844,-1.0932701,0.95688194,4.543727,4,0.0,4.233099287646772e-13,0.0009307380688525791,0.40319404,1.1920929e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Kerezsi Csaba Sándor egyéni vállalkozó,Buyer,62543219235,13,-0.040067967,0.3939027,-1.2164824,0.8722898,4.4794965,3,0.0,3.975072750681494e-16,0.0010331741950710693,0.3962321,1.1920929e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
HM Transz-Ker Korlátolt Felelősségű társaság,Winner,14115815215,13,-0.035966124,0.40448177,-1.2581614,0.93847996,4.5942445,3,3.608284621490943e-06,5.621601795433493e-16,0.001955099331037485,0.38906217,1.1920929e-07,KL - Egyéb tevékenység:,U - Támogatott szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
