Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Pest Megyei Flór Ferenc Kórház,Buyer,15395814213,1,0.01240507,0.19844751,-0.43051663,0.48663455,2.2495596,19,0.016005561520435654,0.11696905297837697,0.008997578640973954,0.4420784,1.1920929e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
HandInScan Kereskedelmi és Szolgáltató Zrt.,Winner,"25744037209,HU25744037,09-10-000561",1,0.017814558,0.23990867,-0.47563773,0.6021762,2.7217295,19,0.013193084142740903,0.05105810288918176,0.009384367827293499,0.4276483,0.0,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Gróf Esterházy Kórház és Rendelőintézeti Szakrendelő,Buyer,15429427219,1,0.046558645,0.24680999,-0.58008975,0.8610432,2.8415856,19,0.0009649122807017549,0.03126706456225526,0.006948594708289492,0.40533936,-5.9604645e-08,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
"Medirex Egészségügyi, Kereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság",Winner,"11909879242,HU11909879,01-10-044186",1,0.034005973,0.23413205,-0.5414399,0.7358816,2.6766958,19,0.004880437809499596,0.060666723674572404,0.006893814642525383,0.42070884,-1.1920929e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Vasútegészségügyi Szolgáltató Nonprofit Közhasznú Korlátolt Felelősségű Társaság,Buyer,18159422242,2,0.01596725,0.23126623,-0.5993028,0.6629431,2.6227074,17,0.19884688052409152,0.32652774637953974,0.05836458514266435,0.43824965,1.1920929e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
CPM Mobilier Korlátolt Felelősségű Társaság,Winner,"26387811203,HU26387811,03-09-131873",2,0.014936347,0.22308396,-0.54866624,0.58680326,2.5295577,17,0.0,0.07274155268945771,0.004394115434395432,0.45554805,-1.7881393e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Euro-Expert Team Kft,Winner,"13003924215,HU1300924",2,0.014041786,0.22969474,-0.55241406,0.62667817,2.6035504,17,0.0,0.07274155268945771,0.004394115434395432,0.44794887,2.3841858e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Zericom Projekt Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,24266826216,2,0.013120041,0.23915917,-0.552046,0.6853677,2.7098458,17,0.0,0.07274155268945771,0.004394115434395432,0.45254707,-1.7881393e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
AGASTRO Kereskedelmi és szolgáltató Korlátolt felelősségű Társaság,Winner,"25304370243,HU25304370",2,0.018395022,0.22191419,-0.504786,0.5234448,2.5192833,17,0.0,0.07274155268945771,0.004394115434395432,0.44550565,0.0,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Szabolcs-Szatmár-Bereg Megyei Kórházak és Egyetemi Oktatókórház,Buyer,15813743215,3,0.013841495,0.2085222,-0.50745505,0.4887327,2.3643513,13,0.10379327028943401,0.11915598097843318,0.01669727189062698,0.4329498,-1.1920929e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
BLUEMED Kft.,Winner,"14570692207,HU14570692",3,0.0057814037,0.19968039,-0.4688568,0.59287745,2.2600725,13,0.1134856919676545,0.048698776920166324,0.010387558275138561,0.42979014,1.1920929e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Heim Pál Országos Gyermekgyógyászati Intézet,Buyer,15490335242,3,0.007786181,0.24327648,-0.51156354,0.8493763,2.7537684,13,0.11347563993815171,0.07862382395362695,0.03153255255118148,0.42100853,-1.1920929e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Linde Gáz Magyarország Zártkörűen Működő Részvénytársaság,Winner,"11300184218,HU11300184",3,0.010223128,0.22853525,-0.54596496,0.65703565,2.5881667,13,0.0,0.017516871437593264,0.004271551774770265,0.4325256,-5.9604645e-08,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Országos Sportegészségügyi Intézet,Buyer,15309721243,4,0.028973185,0.21018748,-0.48665205,0.5387665,2.400486,12,0.2755706784428683,0.5105310151853968,0.05339782047115963,0.4541642,-1.7881393e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
COMESA Budapest Orvosi Műszer és Labortechnikai Kft,Winner,"10365984243,HU10365984",4,0.03199831,0.20216641,-0.5427939,0.48612204,2.3157241,12,0.0,0.1137364450789468,0.0041302394814445855,0.4694516,-5.9604645e-08,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Sanatmetal Ortopédiai és Traumatológiai Eszközöket Gyártó Kft.,Winner,"11172790210,HU11172790",4,0.033270042,0.20459202,-0.54115933,0.5001434,2.3450997,12,0.0,0.1137364450789468,0.0041302394814445855,0.47488445,3.5762787e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Johnson & Johnson Egészségügyi és Babaápolási Termékeket Gyártó és Forgalmazó Kft.,Winner,"10495177244,HU10495177",5,0.043383382,0.21259686,-0.57182384,0.66916907,2.4548283,13,0.03810471226375118,0.12049558253937341,0.007429259034090336,0.42263576,1.1920929e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Kazincbarcikai Kórház Nonprofit Kft.,Buyer,14514166205,6,0.008554325,0.2645557,-0.70120275,0.6511414,2.9946702,7,0.0026644509825287854,0.015771791136093987,0.007046210826462954,0.41476208,-5.9604645e-08,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
