Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Vasútegészségügyi Szolgáltató Nonprofit Közhasznú Korlátolt Felelősségű Társaság,Buyer,18159422242,0,0.021687614,0.21412267,-0.43276182,0.52924067,2.434916,15,0.18794617726611218,0.21029150636707455,0.05940437703711483,0.461489,-1.1920929e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Digitran Hungária Digitális Transzformáció Zrt.,Winner,"26196413241,HU26196413",0,0.020324439,0.21385795,-0.53392136,0.47613883,2.4304285,15,0.0,0.036456657124518975,0.0040548782134046295,0.477664,0.0,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Észak-Közép-budai Centrum Új Szent János Kórház és Szakrendelő,Buyer,15490359243,1,-0.0069730966,0.42609373,-1.043287,1.0284994,4.8213453,2,0.0,1.6801086041719188e-18,0.008333333333333333,0.3597759,0.0,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
GE Healthcare Magyarország Korlátolt Felelősségű Társaság,Winner,"26575113244,HU26575113",1,-0.0048510553,0.4277478,-1.0470562,1.0409981,4.839725,2,0.0,1.6801086041719188e-18,0.008333333333333333,0.36164525,-1.1920929e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
HARTMANN-RICO Hungária Kft.,Winner,"12278923213,HU12278923",5,0.020020042,0.15711589,-0.47466478,0.43741778,1.791936,18,0.24706453762602712,0.3315520184655373,0.02208675864751417,0.5201606,2.3841858e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Wolf Orvosi Műszereket Forgalmazó Szolgáltató Kereskedelmi Kft,Winner,"14752205208,HU14752205",6,0.02573362,0.168744,-0.32959616,0.44536823,1.9311926,15,0.03753766586576828,0.16732326149790153,0.0085921713644103,0.52791196,-2.3841858e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Sterohigiénia Magyarország KFT|SUTURA Képviseleti és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"22651408242|12004692243,HU12004692,01-09-366856",0,0.017447615,0.22159487,-0.5482368,0.49886692,2.514819,15,0.0,0.036456657124518975,0.0040548782134046295,0.46136668,2.3841858e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
EUROMEDIC TRADING Szolgáltató Korlátolt Felelősségű Társaság,Winner,"12077571241,HU12077571",6,0.022529857,0.17285776,-0.3992182,0.5397734,1.9722037,15,0.01589486159857071,0.09302829818968661,0.006313355203220363,0.482934,1.1920929e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
NKM Energia Zrt.,Winner,"26713111244,HU26713111",0,0.018836906,0.21446483,-0.5530401,0.49479356,2.4357336,15,0.0,0.036456657124518975,0.0040548782134046295,0.45740536,0.0,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Margit Kórház Pásztó,Buyer,15450061212,4,0.039002147,0.415831,-0.96081364,0.89859635,4.725239,3,0.0001424298532972511,8.374234443861318e-16,0.012162525194002263,0.3594791,-1.7881393e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Diagnosticum Gyártó és Forgalmazó Zártkörűen Működő Részvénytársaság,Winner,"10824487241,HU10824487",4,0.03743182,0.40687963,-0.93973523,0.90391684,4.6227565,3,0.0,5.921477962500295e-16,0.006418737402998867,0.3654186,-5.9604645e-08,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Nyírő Gyula Országos Pszichiátriai és Addiktológiai Intézet,Buyer,15493125241,5,0.019541113,0.22930586,-0.5682856,0.57648927,2.6037028,18,0.06306847699886076,0.15140599188374515,0.02272965569083588,0.44527197,-1.7881393e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
"Ava-Pack Ipari, Kereskedelmi és Szolgáltató Kft.",Winner,"12712698208,HU12712698",5,0.016766312,0.20853338,-0.4678346,0.5883384,2.3668993,18,0.0,0.026247427233074435,0.0036647001098950196,0.43074575,-1.7881393e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
PRECÍZ SZOLGÁLTATÁS Korlátolt Felelősségű Társaság,Winner,14168095241,5,0.019599639,0.2324219,-0.57864374,0.70773953,2.638887,18,0.0,0.026247427233074435,0.0036647001098950196,0.42195523,0.0,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Ultragel Hungary 2000 Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"13870975241,HU13870975",5,0.0160575,0.22030486,-0.5694851,0.63009703,2.4990768,18,0.0,0.026247427233074435,0.0036647001098950196,0.4275367,1.1920929e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Medial Egészségügyi Szolgáltató Kft.,Winner,"10782664241,HU10782664",5,0.019100105,0.21903598,-0.5673994,0.649863,2.487513,18,0.0,0.026247427233074435,0.0036647001098950196,0.43645254,0.0,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Bács-Kiskun Megyei Kórház a Szegedi Tudományegyetem Általános Orvostudományi Kar Oktató Kórháza,Buyer,15336062203,6,0.030556893,0.19099562,-0.4099143,0.5922137,2.1883488,15,0.211050877709755,0.32632678672952786,0.04517606886339899,0.464018,-1.7881393e-07,KL - Egészségügy,N - Közjogi szervezet,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
