Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Diákhitel Központ Zártkörűen Működő Részvénytársaság,Buyer,12657331241,0,0.06622398,0.39257905,-0.98145825,0.91004074,4.504276,3,5.34159500026708e-05,1.315078760674246e-18,0.0074848354566957355,0.40064868,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Nem,Nem,Igen
Online Üzleti Informatika Zártkörűen Működő Részvénytársaság,Winner,11762762241,0,0.06625551,0.38187033,-0.97058696,0.8744197,4.384916,3,0.0,9.299011094671602e-19,0.003949889963959823,0.3999007,-1.7881393e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Nem,Nem,Igen
NHSZ Kétpó Hulladékgazdálkodási Kft.,Buyer,13321055216,1,0.0024259482,0.3911968,-0.9073874,0.87177384,4.4259715,2,0.0,1.5000541452974068e-21,0.005128205128205128,0.38910884,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Nem,Nem,Igen
Vértes és Vidéke Kommunális Szolgáltató Korlátolt Felelősségű Társaság,Winner,"13795854211,HU13795854",1,0.008098848,0.39021555,-0.90895355,0.8775505,4.4157357,2,0.0,1.5000541452974068e-21,0.005128205128205128,0.3929212,-1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Nem,Nem,Igen
Médiaszolgáltatás - támogató és Vagyonkezelő Alap,Buyer,18091715444,11,0.0035123825,0.23085128,-0.58957016,0.5102993,2.6120863,19,0.1646279579082314,0.12457270819591179,0.04075146315224462,0.45706177,-5.9604645e-08,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Nem,Nem,Igen
Broadcast Solutions Hungary Korlátolt Felelősségű Társaság,Winner,"25364422241,HU25364422",11,0.009210372,0.22653706,-0.47327977,0.53987044,2.5650918,19,0.0,0.019211576539821418,0.0025917645769130003,0.45622832,-1.7881393e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Nem,Nem,Igen
Levissimo Kereskedelmi és Szolgáltató Kft,Winner,"12175057241,HU12175057",11,0.0006327871,0.22361557,-0.5035874,0.56233585,2.5299315,19,0.0,0.019211576539821418,0.0025917645769130003,0.4658179,-1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Nem,Nem,Igen
Rexfilm Broadcast és Kommunikációs Rendszerek Kft.,Winner,"10235708243,HU10235708",11,0.004695531,0.22223668,-0.4987703,0.6018595,2.514882,19,0.0,0.019211576539821418,0.0025917645769130003,0.46749306,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Nem,Nem,Igen
Országos Bírósági Hivatal,Buyer,15795960241,3,-0.020450749,0.29794717,-0.840153,0.66726106,3.3788188,6,0.021045884301052295,0.0033629436021397428,0.01282849843137142,0.41262206,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Nem,Nem,Igen
NEXON Vállalkozási és Kereskedelmi Kft.,Winner,10245264241,3,-0.016686007,0.23907575,-0.5651573,0.50216526,2.711413,6,0.02563965600128198,0.019730222802532848,0.004772056337890979,0.42710987,3.5762787e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Nem,Nem,Igen
Aktív- és Ökoturisztikai Fejlesztési Központ Nonprofit Korlátolt Felelősségű Társaság,Buyer,26768496141,4,-0.044923488,0.39930004,-0.94855034,0.909078,4.546065,2,0.0,1.5000541452974068e-21,0.005128205128205128,0.3919199,3.5762787e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Nem,Nem,Igen
CC Printing Szolgáltató Kft.|Elektroproduct Nyomdaipari Kft.,Winner,24782526243|10276028213,4,-0.044209655,0.39809856,-0.9519431,0.9270242,4.5316586,2,0.0,1.5000541452974068e-21,0.005128205128205128,0.39579797,-5.9604645e-08,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Nem,Nem,Igen
Innomatrix Services Kft.,Winner,"14175620213,HU14175620",11,-0.011553256,0.19258453,-0.4304309,0.4390783,2.1827621,19,0.02636077132631804,0.12603228864445248,0.0044736846479830695,0.48481238,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Nem,Nem,Igen
Magyar Nemzeti Bank,Buyer,10011953244,5,-0.006699089,0.2132941,-0.48911464,0.4085546,2.4143372,37,0.18845147160942255,0.6926651731776261,0.09080127601110834,0.49508402,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Nem,Nem,Igen
Bonus Schild Kft.,Winner,"23385322242,HU23385322",5,-0.013171429,0.2173916,-0.49062517,0.41705078,2.4640155,37,0.0,0.10682071210463107,0.002651150840300839,0.4925551,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Nem,Nem,Igen
Wolters Kluwer Kft.,Winner,"12643228243,HU12643228,01-09-696382",5,-0.0032276816,0.21367271,-0.553517,0.43478248,2.4177065,37,0.0,0.10682071210463107,0.002651150840300839,0.50300264,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Nem,Nem,Igen
Hortobágyi Természetvédelmi és Génmegőrző Nonprofit Korlátolt Felelősségű Társaság,Buyer,18543391209,6,0.028233279,0.36325845,-0.9162343,0.90021396,4.122195,5,0.0003204957000160248,3.2763648758433714e-15,0.012198096113676952,0.39812973,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Nem,Nem,Igen
Sárréti Mezőgazdasági Korlátolt Felelősségű Társaság,Winner,"25067125209,HU25067125",6,0.030305717,0.3519461,-0.91797644,0.86626375,3.9965506,5,0.0,1.6381824379216853e-15,0.0033607323818371716,0.40228733,-1.7881393e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Nem,Nem,Igen
Agro - Coop 2001 Mezőgazdasági Termelő és Szolgáltató Bt.,Winner,"21057791209,HU21057791",6,0.02895825,0.3588908,-0.9347898,0.8949205,4.073582,5,0.0,1.6381824379216853e-15,0.0033607323818371716,0.39692202,-1.7881393e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Szolgáltatás megrendelés,Nemzeti eljárásrend,Nem,Nem,Igen
