Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Mátrai Gyógyintézet,Buyer,15309824210,0,0.027841123,0.25190577,-0.5390472,0.687151,2.867342,31,0.0019287208988941716,0.007916495244573461,0.003680605051462665,0.343894,1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
SzamosMediko Kft.,Winner,"23394021243,HU23394021,01 09 963562",0,0.025159111,0.23253447,-0.50938326,0.7020034,2.6461809,31,0.0077903827443133004,0.040541888078955264,0.0044453079403552285,0.32782963,-1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Zala Megyei Szent Rafael Kórház,Buyer,15432742220,0,0.013993248,0.26552415,-0.751235,0.65912616,3.0082316,31,0.019797123253433205,0.009233843317154818,0.00901891319239125,0.33671436,0.0,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
PannonLog Invest Zrt.,Winner,"14381904243,HU14381904",0,0.020214984,0.24433811,-0.51795155,0.5570197,2.773815,31,0.005253572142203731,0.010773127846448025,0.002619821521147634,0.33007768,0.0,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Kanizsai Dorottya Kórház,Buyer,15433750220,1,0.00043403357,0.23154026,-0.63814825,0.50987047,2.6195836,37,0.021268430587093,0.09316992211607909,0.008623556219932672,0.34366181,-5.9604645e-08,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
"HAPPY BUSINESS SERVICES Befektetési, Kereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság",Winner,"22923820241,HU22923820",1,0.0047781104,0.22429653,-0.5551174,0.49746534,2.5382013,37,0.0013730254333066733,0.050462486397978054,0.0024559368203510975,0.3397533,-1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
HARTMANN-RICO Hungária Kft.,Winner,"12278923213,HU12278923",1,0.014398707,0.19693395,-0.43613744,0.5646877,2.2340007,37,0.09081123162487267,0.24552256969872122,0.013442111498997291,0.3742164,-1.7881393e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
"BSW Ipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",Winner,"10511398243,HU10511398",1,0.0026151463,0.22364043,-0.60086215,0.44551036,2.5303755,37,0.02748430718465715,0.08084230283568668,0.005686214032056474,0.34514886,-1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Markhot Ferenc oktatókórház és Rendelőintézet,Buyer,15813839210,1,0.014030393,0.20398444,-0.5230195,0.5417108,2.3132732,37,0.1540885369612056,0.2811915870229493,0.026915893113574438,0.37195113,-1.7881393e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Premed Pharma Kereskedelmi és Kutató-Fejlesztő Kft.,Winner,"10803952243,HU10803952",14,0.013912603,0.22845088,-0.43272358,0.59379816,2.589415,19,0.008188789647572369,0.05612393567889529,0.0046870700702800715,0.34428722,2.3841858e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
