Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Albert Schweitzer Kórház- Rendelőintézet,Buyer,15813774210,13,-0.012491057,0.2237219,-0.6446817,0.48193318,2.5350666,57,0.018125164111590306,0.04018985174171974,0.005330075922544022,0.24189787,-2.3841858e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Sanatmetal Ortopédiai és Traumatológiai Eszközöket Gyártó Kft.,Winner,"11172790210,HU11172790",1,0.008542488,0.18034497,-0.4216785,0.55986947,2.042658,16,0.012652600051150974,0.10220771064167503,0.005115641811103168,0.27560404,0.0,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Markhot Ferenc oktatókórház és Rendelőintézet,Buyer,15813839210,13,-0.002248548,0.20488718,-0.41819385,0.5527807,2.3181732,57,0.044137410256672636,0.09403914400843186,0.010867159021960797,0.23765065,-1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Clear Pharma Zrt.,Winner,"25560611241,HU25560611",2,-0.017681068,0.22058204,-0.5165999,0.6550575,2.5036051,41,0.0045579058354273064,0.020006761438083925,0.0018935238405633707,0.23877615,0.0,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Atlas Pharma Gyógyszernagykereskedelmi Korlátolt Felelősségű Társaság,Winner,"25567072241,HU25567072",3,0.012148853,0.21180359,-0.611262,0.5336759,2.4002228,24,0.0373231713340691,0.06403712655568349,0.00459680071623947,0.2397971,0.0,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Semmelweis Egyetem,Buyer,15329808242,4,-0.014810885,0.38976502,-0.8862186,1.1456621,4.4128704,6,0.013435493444126693,0.00019411815147156426,0.004294797557056252,0.28508592,-1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Mediszer Kórháztechnikai és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"10321056241,HU10321056",4,-0.008940533,0.29399046,-0.621114,0.9375925,3.3276603,6,0.022273781902552203,0.003176267774549791,0.002594647003574013,0.26732478,-1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Állami Szívkórház,Buyer,15309848219,5,-0.009551546,0.21440041,-0.526979,0.5476486,2.4280696,63,0.05158931240697278,0.09752014075246959,0.01346117484880365,0.26466477,-2.3841858e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Halker Élelmiszer és Iparcikk Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"10378876214,HU 10378876",6,-0.01854485,0.22864865,-0.71788234,0.59547025,2.5953588,23,0.0007346632922435005,0.008104856716698774,0.0015727375904596096,0.258279,-1.7881393e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Markusovszky Egyetemi Oktatókórház,Buyer,15813860218,7,-0.013809779,0.2028358,-0.45711264,0.52412176,2.3001375,53,0.048038498042507156,0.16317389423728154,0.015751404528926493,0.2713396,1.1920929e-07,KL - Egészségügy,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
