Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Pécsi Szakképzési Centrum,Buyer,15832104202,1,-0.008474507,0.27165788,-0.96318346,0.9150992,3.0749533,14,0.03836373687119956,0.02718299304435293,0.0100462112516669,0.43946075,-2.9802322e-07,KL - Oktatás,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Csepo Szolgáltató és Kereskedelmi Betéti Társaság,Winner,"20068138202,HU20068138,02-06-062744",1,-0.003293138,0.27533525,-0.82979244,0.9851561,3.1152852,14,0.02609176340519624,0.0059646641800565215,0.007124728420869074,0.42157304,1.1920929e-07,KL - Oktatás,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Nyíregyházi Tankerületi Központ,Buyer,15835334215,11,0.007998162,0.24309239,-0.67669535,0.50899005,2.7517645,14,0.048171653602831016,0.31837696388744957,0.03130557951888095,0.45677257,2.3841858e-07,KL - Oktatás,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Hangfordító Szolgáltató Betéti Társaság,Winner,28600060242,11,0.0035980782,0.23983654,-0.61908674,0.5327724,2.7137458,14,0.0,0.06664907059380569,0.0033207978714648208,0.46797854,1.1920929e-07,KL - Oktatás,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Kovács Gábor egyéni vállalkozó,Winner,69431793135,11,0.0046986067,0.25083417,-0.66729397,0.5702767,2.8383625,14,0.0,0.06664907059380569,0.0033207978714648208,0.4616979,-1.7881393e-07,KL - Oktatás,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Szerencsi Szakképzési Centrum,Buyer,15832173205,3,0.02149445,0.27592432,-0.5923959,0.7419629,3.1311846,7,0.0201216141514649,0.026870733186115617,0.010585582087245549,0.43495306,-5.9604645e-08,KL - Oktatás,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Tantender Korlátolt Felelősségű Társaság,Winner,25912018105,3,0.021345202,0.29164428,-0.73316956,0.7004393,3.3084037,7,0.006854615809839691,0.005883030526484118,0.0078905702371645,0.41202632,0.0,KL - Oktatás,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Pécsi Tankerületi Központ,Buyer,15835358202,29,-0.0016821318,0.22032827,-0.5234366,0.66098464,2.4928024,10,0.16307705837556583,0.5057052145662344,0.03722147996467099,0.47097695,1.1920929e-07,KL - Oktatás,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Raabe Klett Oktatási Tanácsadó és Kiadó Kft.,Winner,"10805349243,HU10805349",29,-0.018144323,0.23723042,-0.6556365,0.5739551,2.6917946,10,0.00652294085129906,0.11681918108850628,0.00584641896071411,0.45771295,1.1920929e-07,KL - Oktatás,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Eltan Képző Kft.|Corvus Oktatási és Szolgáltató Kft,Winner,"11422442203|10406366213,HU10406366,13-09065842",29,-0.0061231833,0.21307667,-0.75139934,0.52915204,2.4116824,10,0.0,0.10586512905038274,0.0032125355531602666,0.4890999,-1.1920929e-07,KL - Oktatás,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
