Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Szegedi Tudományegyetem,Buyer,15329815206,0,0.03590679,0.2786116,-0.6712751,0.856724,3.1782,18,0.11147893500834677,0.009365458860327039,0.03721870995473999,0.41947445,0.0,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Pécsi Mélyépítő Iroda Tervező és Szolgáltató Kft.,Winner,10516317202,0,0.029921453,0.27091607,-0.61094546,0.86747396,3.0837033,18,0.0,0.0015980200218620466,0.0034016665107204427,0.4189157,-3.5762787e-07,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Eötvös Loránd Tudományegyetem,Buyer,15308744241,1,0.023357803,0.24740642,-0.6553324,0.54741645,2.8115313,25,0.18780239368474663,0.2776243320238169,0.07088353767695009,0.47463685,-1.7881393e-07,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
ENGIE Magyarország Korlátolt Felelősségű Társaság,Winner,12348356243,1,0.021067712,0.24286836,-0.67438823,0.5230467,2.7580605,25,0.0,0.04737622030337929,0.0033782451860872834,0.4793369,-1.7881393e-07,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Halm-Bau épületgépészeti és Szerelőipari Kft,Winner,"13555988243,HU13555988",1,0.024265535,0.24265336,-0.66637886,0.51991713,2.759002,25,0.0,0.04737622030337929,0.0033782451860872834,0.47956002,0.0,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Future Service Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság|Future FM Létesítménygazdálkodási Zártkörűen Működő Részvénytársaság,Winner,"13400792242,HU13400792|11942548242,HU11942548",0,0.018037837,0.25987825,-0.6003391,0.79202354,2.9472604,18,0.0,0.0015980200218620466,0.0034016665107204427,0.4233048,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Semmelweis Egyetem,Buyer,15329808242,2,0.01605912,0.20640203,-0.55359876,0.47046134,2.3422298,25,0.4448688566335625,0.6409693961621502,0.08664999204926034,0.5088506,3.5762787e-07,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Czégel Takarító és Személy-vagyonvédelmi Szolg. Kft,Winner,12710108213,2,0.0058557633,0.19732551,-0.52157,0.5205666,2.2334661,25,0.0,0.10937225160087172,0.003269831640554477,0.52723706,-1.7881393e-07,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Debreceni Egyetem,Buyer,15329750409,3,0.035074867,0.23128554,-0.49480912,0.58462745,2.646616,12,0.2745805392864217,0.09306892519003038,0.0339132829725877,0.45193037,-1.7881393e-07,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
UNISZOL-Létesítménygazdálkodási Zártkörűen Működő Részvénytársaság,Winner,"13646231209,HU13646231",3,0.03440371,0.2081778,-0.58220047,0.5728436,2.387209,12,0.08819285289873531,0.12900916978597501,0.008312130810146985,0.45264775,-1.7881393e-07,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
"B+N Referencia Ipari, Kereskedelmi és Szolgáltató Zrt.",Winner,"23480874205,HU23480874",3,0.021946762,0.17607954,-0.4096574,0.53248566,2.007527,12,0.07843137254901965,0.12525291886119003,0.0054876478307742576,0.49519023,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Nett Project Építőipari és Szolgáltató Kft,Winner,"22685526209,HU22685526",3,0.03518927,0.22301178,-0.53666943,0.6816246,2.554307,12,0.0,0.015880667260318306,0.0031855581257036526,0.46326628,2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Biztos Kész Diák Szervező és Szolgáltató Iskolaszövetkezet,Winner,11698050208,0,0.020007793,0.27381414,-0.65957046,0.8557417,3.1061122,18,0.0,0.0015980200218620466,0.0034016665107204427,0.42444468,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
ATRC Aurigon Toxikológiai Kutatóközpont Korlátolt Felelősségű Társaság,Winner,"14843761213,HU14843761",1,0.0186433,0.22977945,-0.60591155,0.50675225,2.6082006,25,0.0,0.04737622030337929,0.0033782451860872834,0.48679584,0.0,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Herman Ottó Intézet Nonprofit Kft.,Buyer,10897988243,4,-0.008636101,0.3657566,-0.9937264,0.95211697,4.1392174,6,0.0008488243782361429,2.5384831721681055e-16,0.018307308591111293,0.38872048,-2.9802322e-07,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Hivatalos Biztonsági Okmány és Jegynyomda Kft,Winner,10813944213,4,-0.018461145,0.35368487,-1.0153531,0.90582955,4.0069346,6,0.0,1.1352441865414372e-16,0.004080473765648711,0.4012572,-5.9604645e-08,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Printing Solutions Nyomdai Szolgáltató Betéti Társaság,Winner,21795543203,4,-0.020560779,0.35498065,-1.0179127,0.8940258,4.022878,6,0.0,1.1352441865414372e-16,0.004080473765648711,0.39363265,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Budapesti Corvinus Egyetem,Buyer,19156972243,6,0.06081323,0.29372433,-0.73493624,0.9235647,3.3935888,10,0.028944911297852476,0.00317163164758839,0.009510217962031046,0.41030258,0.0,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Generali Biztosító Zrt.,Winner,"10308024444,17780058",6,0.059927903,0.305317,-0.8042673,0.9210706,3.5201786,10,0.009761480349715645,0.0005574069834322279,0.007022000036762219,0.3998922,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
UNIQA Biztosító Zártkörűen Működő Részvénytársaság,Winner,"10456017444,HU 17781224",6,0.054407895,0.25691316,-0.69236827,0.89608634,2.9711053,10,0.08377896613190731,0.01748896463750591,0.011510395160878184,0.4215271,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
