Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Debreceni Egyetem,Buyer,15329750409,0,0.0044328477,0.16977933,-0.37923047,0.32721168,1.9214885,75,0.3652371041670582,0.41012753978169164,0.09733137583176683,0.42644075,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
B. Braun Trading Kft.,Winner,"25061978241,HU25061978",1,0.0074055186,0.14110166,-0.36409038,0.44584775,1.59858,75,0.007780957523509902,0.08046815561008527,0.0023272254074537123,0.47235137,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Szegedi Tudományegyetem,Buyer,15329815206,2,-0.016323445,0.16481909,-0.5143249,0.45753285,1.873838,96,0.45962187349647576,0.4991554582151274,0.12105408111827654,0.43920437,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Merck Life Science Kft.,Winner,"10836660243,HU10836660,Igazságügyi Minisztérium",3,-0.0110720415,0.17103319,-0.4265455,0.45824167,1.93907,39,0.016833713102118106,0.0773203328231664,0.0029570337453912357,0.3647278,2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
RK Tech Kft.,Winner,"12395152242,HU12395152",3,-0.018992452,0.1958776,-0.58018947,0.51184964,2.226495,39,0.056885496877337745,0.08771564791262917,0.006140960160578997,0.30692413,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
VWR International Kft.,Winner,"10650400209,HU10650400,09-09-001214",3,-0.024905887,0.1658462,-0.45176578,0.33242893,1.8973756,39,0.0184938677877953,0.08142842632125269,0.0034995467467645665,0.3687068,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
BIOMARKER Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"12122066213,HU12122066,Cg.13-09-071778",4,-0.012859533,0.18520267,-0.43223742,0.59093106,2.100374,20,0.012735536182373481,0.08067367317321544,0.0034392218249341255,0.36431485,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Bravogroup Rendszerház Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"11809360242,HU11809360,01-09-677773",4,-0.015839761,0.18173154,-0.4940287,0.31555703,2.0638528,20,0.005315658339076323,0.04727406897549139,0.0027565796839165253,0.34490377,-5.9604645e-08,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Óbudai Egyetem,Buyer,15773063241,4,-0.05070468,0.27938005,-0.6702639,0.7685255,3.2124596,20,0.0090006346057412,0.002800187010288379,0.0038988945606934122,0.32781562,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Garzon Bútor Kereskedelmi Kft.,Winner,"13063203207,HU13063203",4,-0.04611036,0.3040869,-0.7809051,0.84721214,3.4796782,20,0.0,0.0001985655589985071,0.0011795010221553727,0.3361839,-1.7881393e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
LABOKRAFT Mérnökiroda Korlátolt Felelősségű Társaság,Winner,"13656230213,HU13656230",2,-0.009781707,0.16706623,-0.5167989,0.44707596,1.8933755,96,0.0,0.03539587971225248,0.0010324161600453825,0.44687465,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Labsystem Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"12081213213,HU12081213",3,-0.019516202,0.21741141,-0.7154494,0.47121873,2.4696195,39,0.004447496698231355,0.04268172298824172,0.0027536018080784996,0.324889,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Miskolci Egyetem,Buyer,15308809205,5,-0.004993789,0.23691031,-0.6462514,0.6872526,2.6809297,26,0.022516770270791405,0.027001551705747976,0.008436452116098015,0.3003738,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
PIM Professzionális Ipari Méréstechnika Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"13090465213,HU13090465",5,-0.004210937,0.19755675,-0.52989936,0.4961998,2.2356071,26,0.0006716530092037583,0.01270173233122987,0.0015789768497295534,0.33890656,3.5762787e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Semmelweis Egyetem,Buyer,15329808242,1,0.029579455,0.18333532,-0.40762466,0.3982542,2.1010256,75,0.19693642820768606,0.2254852126419993,0.06338004531306128,0.4046685,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Anamed Kft.,Winner,"10737956242,HU10737956",1,0.0020114128,0.16237094,-0.30804062,0.4047333,1.8371586,75,0.0029822534760276203,0.051385382245540054,0.0016811865412759176,0.42829874,-2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Mölnlycke Health Care Kft.,Winner,"12352476241,HU12352476",1,0.009530222,0.14843437,-0.29953545,0.34396377,1.6828011,75,0.0029822534760276203,0.051385382245540054,0.0016811865412759176,0.4512327,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Medtronic Hungária Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"12070907243,HU12070907,01-09-462762",1,0.0013551053,0.13897853,-0.4372421,0.36344624,1.5724373,75,0.007780957523509902,0.08046815561008527,0.0023272254074537123,0.477774,-5.9604645e-08,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Premier G. Med Cardio Kft.,Winner,"14772423241,HU14772423",1,0.027687976,0.1555384,-0.3352537,0.35225892,1.7873803,75,0.0014859254050875776,0.045072275897832796,0.0016460973036144188,0.44511372,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
AMECO 2000 Kft.,Winner,"11961583241,HU11961583",1,0.009785953,0.15747212,-0.4624474,0.3448753,1.7850305,75,0.0014859254050875776,0.045072275897832796,0.0016460973036144188,0.43475193,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Twinmed Orvosi Rendszerek Korlátolt Felelőségű Társaság,Winner,"12342697243,HU12342697,HUOCCSZ.01-09-666851",1,0.030662078,0.16297993,-0.35819703,0.3680825,1.8762556,75,0.0014859254050875776,0.045072275897832796,0.0016460973036144188,0.4290158,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Planmed Kereskedő Kft.,Winner,"10820830243,HU 10820830",1,0.015544739,0.16569537,-0.4434863,0.39568657,1.8828607,75,0.0014859254050875776,0.045072275897832796,0.0016460973036144188,0.43190584,-1.7881393e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
"Endo-Plus-Service Javító, Szolgáltató és Kereskedelmi Kft.",Winner,"13140072242,HU13140072,Cg. 01-09-720704",0,0.0015579881,0.15754013,-0.43468672,0.30986702,1.7824503,75,0.0,0.029082773364545223,0.0009973269223838839,0.44688973,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
HUN-MED Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"10711426213,HU10711426",0,0.0050037093,0.1645213,-0.5100039,0.33301798,1.8622067,75,0.0,0.029082773364545223,0.0009973269223838839,0.43267098,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
MICROMEDICAL Kereskedelmi és Szolgáltató Kft,Winner,"10873553243,HU10873553",0,0.0012081345,0.16271217,-0.38876152,0.29763746,1.8409288,75,0.0,0.029082773364545223,0.0009973269223838839,0.43578202,0.0,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Molar Chemicals Kft.,Winner,"10886713213,HU10886713",0,-0.0041050464,0.13935147,-0.38794652,0.28619555,1.5772659,75,0.003312778642394708,0.0644786530767977,0.0016784550262231774,0.47824433,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
"""Vákuum Tömörség és Mérés Technika"" Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság",Winner,"13699208209,HU13699208",0,0.0047449796,0.16609685,-0.4638412,0.3332813,1.879938,75,0.0,0.029082773364545223,0.0009973269223838839,0.43836007,-1.7881393e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
"""MEDTECH"" Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",Winner,"10437216243,HU 10437216",1,0.022928655,0.15385108,-0.4026555,0.4209631,1.75985,75,0.0014859254050875776,0.045072275897832796,0.0016460973036144188,0.44131398,-1.7881393e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Elektro-Oxigén Orvosi Műszer-és Elektrotechnikai Kft.,Winner,"10792333243,HU10792333",0,-0.011800818,0.14633954,-0.44064224,0.37189448,1.6610173,75,0.003312778642394708,0.0644786530767977,0.0016784550262231774,0.46876878,2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Eötvös Loránd Tudományegyetem,Buyer,15308744241,6,-0.015833322,0.19170149,-0.60147667,0.5546031,2.1762397,57,0.2046193560244377,0.1521192689497314,0.05119882267740626,0.35131183,2.3841858e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
"ECon Engineering Mérnöki, Szolgáltató Korlátolt Felelősségű Társaság",Winner,"12786602243,HU12786602",6,-0.010959879,0.18630996,-0.48628935,0.5043676,2.1115007,57,0.0,0.010787010854189736,0.000981696153731999,0.3692088,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
Infopolis Korlátolt Felelősségű Társaság,Winner,"22648633209,HU22648633",6,-0.006189041,0.18949306,-0.49720156,0.43755424,2.1450124,57,0.007936035239241964,0.04880187972317,0.003376443587099327,0.34136683,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Árubeszerzés,Uniós eljárásrend,Nem,Nem,Igen
