Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Debreceni Egyetem,Buyer,15329750409,0,-0.0073973686,0.30834097,-0.65728223,0.7633071,3.4894836,16,0.004280298397945457,0.06756756756756757,0.033334532720983696,0.4310666,0.0,KL - Oktatás,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
TÖMB 2002 Szolgáltató Korlátolt Felelősségű Társaság,Winner,"22757937209,HU22757937",0,-0.00966473,0.30197755,-0.7042683,0.6989291,3.4182355,16,0.0,0.0045045045045045045,0.0025609564135188755,0.43665352,-1.7881393e-07,KL - Oktatás,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Pápai Szakképzési Centrum,Buyer,15832094219,1,-0.033293292,0.38823056,-0.9912071,0.9768992,4.4084487,2,0.0,0.0045045045045045045,0.004484304932735426,0.4091978,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Green Plan Energy Környezetvédelmi Korlátolt Felelősségü Társaság,Winner,22682468205,1,-0.031665772,0.38683903,-0.98095244,0.97373444,4.3912225,2,0.0,0.0045045045045045045,0.004484304932735426,0.40723816,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Eötvös Loránd Tudományegyetem,Buyer,15308744241,2,0.042558305,0.31184307,-0.77987504,0.995846,3.5608053,13,0.002690473278708573,0.05405405405405406,0.027152341052073335,0.42671198,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Mozaik Építőipari Kereskedelmi Szolgáltató Kft.,Winner,"10659461243,HU10659461",2,0.0380779,0.30894154,-0.8583464,0.9961337,3.5217233,13,0.0,0.0045045045045045045,0.0025953019227905987,0.42877752,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
DESZIG Építőipari és Kereskedelmi Kft.,Winner,10584095209,0,-0.008774347,0.30021185,-0.7081992,0.6892509,3.3979595,16,0.0,0.0045045045045045045,0.0025609564135188755,0.43122995,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Pápai Tankerületi Központ,Buyer,15835341219,3,-0.04069625,0.37471437,-0.90068936,0.9013528,4.2643385,3,4.076474664709959e-05,0.009009009009009009,0.006545035489038872,0.41501164,-5.9604645e-08,KL - Oktatás,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Haus-Ber Kft,Winner,13906487219,3,-0.040293373,0.3706601,-0.9057586,0.8773411,4.218246,3,0.0,0.0045045045045045045,0.0034539396545837024,0.41353932,-1.7881393e-07,KL - Oktatás,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
M20 Generál Korlátolt Felelősségű Társaság,Winner,25340774219,3,-0.042092558,0.3756812,-0.9226265,0.88799113,4.276943,3,0.0,0.0045045045045045045,0.0034539396545837024,0.40891686,-1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Pécsi Tudományegyetem,Buyer,15329798202,4,0.033646967,0.34105778,-0.99730474,0.8080771,3.8773603,8,0.0006114711997064938,0.018018018018018018,0.009721990899170634,0.41076612,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Cserkúti Generál Kft.,Winner,14441826243,4,0.033003602,0.33688533,-0.9148722,0.890791,3.8296685,8,0.0,0.0045045045045045045,0.0027381731804842933,0.42103592,3.5762787e-07,KL - Oktatás,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Budapesti Gazdasági Egyetem,Buyer,15329822241,5,-0.0045363493,0.3433696,-0.8347958,1.1828365,3.8851225,9,0.0011414129061187884,0.036036036036036036,0.01890941882685955,0.41960788,1.1920929e-07,KL - Oktatás,U - Egyéb típus:,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
