Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
BUDAPEST FŐVÁROS XX. KERÜLET PESTERZSÉBET ÖNKORMÁNYZATA,Buyer,15735832243,0,-0.017925914,0.36634395,-0.8597678,1.0451338,4.1496673,28,0.0014089200566508378,0.0036133694670280035,0.001624946659280842,0.37859002,0.0,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Alpinia Építő Korlátolt Felelősségű Társaság,Winner,14920303243,0,-0.02073472,0.37381402,-0.8691159,1.0137,4.2357235,28,0.0,0.0009033423667570009,0.00048109282006084987,0.38676468,3.5762787e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
HAJDÚHADHÁZ VÁROS ÖNKORMÁNYZATA|Létavértes Városi Önkormányzat,Buyer,15728537209|15728568209,1,0.033735745,0.43137494,-1.0839877,0.98161316,4.895352,2,0.0,0.0009033423667570009,0.0009025270758122744,0.3809821,-2.3841858e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
"""DELA KÖNYVKIADÓ"" Kereskedelmi és Szolgáltató Kft.",Winner,11555511209,1,0.03261703,0.43451172,-1.0876511,0.9917787,4.9297695,2,0.0,0.0009033423667570009,0.0009025270758122744,0.37847543,-5.9604645e-08,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Kőszeg Város Önkormányzata,Buyer,15733627218,2,0.025795452,0.4163529,-1.0596688,0.9948884,4.7195272,2,0.0,0.0009033423667570009,0.0009025270758122744,0.38933364,1.1920929e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
PUSZTAI Egészségügyi Betéti Társaság,Winner,26851387118,2,0.028029863,0.4275785,-1.0863053,1.0224559,4.847882,2,0.0,0.0009033423667570009,0.0009025270758122744,0.37401927,1.1920929e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Bugyi Nagyközség Önkormányzata,Buyer,15730356213,3,-0.016762234,0.4045629,-0.986642,0.8845979,4.5810337,3,0.0,0.0009033423667570009,0.0006955012576988994,0.38898396,0.0,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
MorrowMedical Zártkörűen Működő Részvénytársaság,Winner,"14996924141,HU14996924",3,-0.017147766,0.42266637,-1.0203094,0.953313,4.785858,3,1.6335305004647395e-06,0.0018066847335140017,0.0013165787120390242,0.39062244,0.0,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Pápa Város Önkormányzata,Buyer,15734178219,4,-0.023710474,0.35836416,-0.9596287,0.7951933,4.0632925,78,0.0035022893929964015,0.004516711833785004,0.002175952137389932,0.38724196,-1.7881393e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
MUNDUS VIRIDIS Tervező és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"12858336215,HU12858336",4,-0.028413512,0.36998194,-0.98797405,0.8718709,4.1981936,78,0.0,0.0009033423667570009,0.0005058093779632213,0.39367944,0.0,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
