Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Csorna Város Önkormányzata,Buyer,15728018208,0,0.02050186,0.42314965,-1.0338159,1.0871348,4.793008,2,0.0,8.834785286100342e-22,0.0015220700152207,0.386239,0.0,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Gárty Épületgépészeti kft,Winner,11314644218,0,0.019747462,0.41855657,-1.035159,1.1045642,4.7406945,2,0.0,8.834785286100342e-22,0.0015220700152207,0.3830973,0.0,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Farád Község Önkormányzata|Sopronnémeti Község Önkormányzata|Acsalag Községi Önkormányzat,Buyer,15371609208|15370749108|15370093108,39,-0.011420286,0.2972489,-0.79674566,0.67851853,3.3654687,31,0.0,0.016566812170612687,0.0007321637843886468,0.37553465,0.0,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Royal Marine Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"13990530203,HUOCCSZ.03-09-114812",39,-0.017995995,0.30038816,-0.90113115,0.6392283,3.4045975,31,0.013785541678063024,0.08069698314668247,0.005337978425310711,0.36700317,3.5762787e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Budapest Főváros III. kerület Óbuda-Békásmegyer Önkormányzat,Buyer,15735667241,2,-0.020883583,0.41924518,-0.96064705,1.0630859,4.749099,3,4.654626698938745e-06,3.4914541630858044e-18,0.0022231102140675726,0.3858441,2.3841858e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Józsa Mária egyéni vállalkozó,Winner,"64151403230,HU64151403,00003-0012",2,-0.021992233,0.4051563,-0.9881361,1.0882638,4.5905685,3,0.0,2.4688309149199745e-18,0.0011715499157972638,0.39458582,-2.9802322e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Kajárpéc Községi Önkormányzat|Tényő Község Önkormányzata,Buyer,15366681208|15727859208,39,0.004024973,0.30527678,-0.81369776,0.66736096,3.4541128,31,0.0,0.04244643580043059,0.0007509482968606563,0.37816048,2.3841858e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
SZAL-AGRO Kereskedelmi és Szolgáltató Kft,Winner,"11778705205,HU11778705",39,-0.0030854214,0.291819,-0.6913828,0.6512759,3.3017397,31,0.0370025836451397,0.20672735787664645,0.00738264083005774,0.36913612,-1.7881393e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Észak-Alföldi Környezetgazdálkodási NpKft,Buyer,13919867215,3,-0.023025997,0.42685175,-1.0218029,1.2579204,4.836298,2,0.0,8.834785286100342e-22,0.0015220700152207,0.3840352,-5.9604645e-08,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Garami-Oil Korlátolt Felelősségű Társaság,Winner,11708726215,3,-0.026186377,0.4238816,-1.0033472,1.2481798,4.8048153,2,0.0,8.834785286100342e-22,0.0015220700152207,0.37879026,1.1920929e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Sásd Város Önkormányzata,Buyer,15724186202,5,0.061139293,0.30351686,-0.5590139,0.8851773,3.5028768,31,0.003022951938480048,0.0237484185280135,0.0026997219884668175,0.36390987,1.1920929e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
