Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Belváros-Lipótváros Budapest Főváros V. kerület Önkormányzat,Buyer,15735681241,10,-0.010849521,0.30768093,-0.7521258,0.6989607,3.483176,21,0.02558496119238492,3.1136559485737946e-05,0.007969590687078875,0.38849846,-5.9604645e-08,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
SMP Solutions Zrt.,Winner,"26777810244,HU26777810,01-10-140383",10,-0.004673247,0.30875966,-0.7467839,0.800675,3.4936166,21,0.0,5.826070542690473e-06,0.0013664291216931882,0.38736928,1.1920929e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Budapest Közút Zártkörűen Működő Részvénytársaság,Buyer,23501894244,1,-0.024623321,0.33210906,-1.193896,0.9297021,3.767698,13,0.010352941176470587,0.00015426739669601762,0.005168142280363504,0.3853207,0.0,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
SONIC Tanácsadó és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"14364521241,HU14364521",1,-0.024584867,0.34501836,-1.2026211,0.9095921,3.9133346,13,0.0,2.7665943923951562e-05,0.0014970557717309363,0.383932,-2.3841858e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Székesfehérvár Megyei Jogú Város Önkormányzata,Buyer,15726999207,2,0.0068531227,0.28780022,-0.67464405,0.8156318,3.257011,14,0.03657507222892324,0.0003333485939702784,0.010025124338007563,0.3740641,-5.9604645e-08,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
NÁDOR Rendszerház Irodaautomatizálási Korlátolt Felelősségű Társaság,Winner,"10507326242,HU 10507326,01-09-074755",2,0.007277482,0.25894055,-0.7794236,0.65593934,2.9307344,14,0.05327690015726665,0.0006120810250739604,0.0029087688699649464,0.35299197,-5.9604645e-08,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Újkígyós Város Önkormányzata,Buyer,15725170204,3,0.023895005,0.41928357,-1.3760464,0.91787535,4.751349,3,1.4260249554367201e-05,4.133255781334813e-31,0.003882129618827415,0.39418256,-2.9802322e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Hyppolit Műszaki Kereskedelmi és Szolgáltató Kft.,Winner,13908757242,3,0.028302688,0.4101836,-1.3443358,0.93294114,4.651732,3,0.0,2.9226531913603475e-31,0.0020482968927139525,0.3908429,-3.5762787e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Fejér Megyei Kormányhivatal,Buyer,15789295207,37,0.025465958,0.3592095,-0.7482388,0.77542585,4.074192,21,0.02057754010695187,1.597780699933941e-06,0.009242692422506813,0.39240065,1.1920929e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Wolf Auto Gépjármű Kereskedelmi és Szolgáltató Kft,Winner,"11100207207,HU11100207,07-09-002113",37,0.008973753,0.3526517,-0.79481375,0.75793695,3.9910898,21,0.0,2.952623319095397e-07,0.001520717302768499,0.3939695,-2.3841858e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Kaposvár Megyei Jogú Város Önkormányzata,Buyer,15731591214,37,0.02185807,0.33679962,-0.987911,0.80327123,3.818469,21,0.0034652406417112302,3.465193442319372e-05,0.0027055097007491927,0.38259962,3.5762787e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
Patkós Gábor,Winner,"52355301233,HU52355301",37,0.024102446,0.3605937,-0.96756345,0.8938723,4.088755,21,0.0,6.353796955236528e-06,0.0015484925976261793,0.38914722,2.3841858e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Nem,Nem,Igen
