Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Kerekharaszt Község Önkormányzata,Buyer,15729576110,0,-0.0029604416,0.3952422,-0.9615711,0.7834914,4.471781,193,0.0,3.387769265231942e-05,9.470791810887877e-05,0.332695,1.1920929e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
MEDIBAU Építőipari Kivitelező Kft,Winner,10603941241,0,0.012516316,0.41323054,-0.9304463,0.939118,4.677314,193,0.0015687578877697783,0.0002848110978545363,0.00045158970964204263,0.3268298,1.1920929e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Jánoshida Községi Önkormányzat,Buyer,15732815216,1,-0.012387408,0.38281572,-1.2837831,0.7660741,4.3333325,321,0.0005240455354467175,0.0018913311637916653,0.0002098392667724969,0.29857785,-1.7881393e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Jászmetál 2000 Fémipari Szolgáltató és Kereskedelmi Kft,Winner,13376646216,1,-0.037125673,0.38323054,-1.1095449,0.83175355,4.3560567,321,0.001571740552780271,0.0009568212672398407,0.00040746161311427134,0.32211575,1.1920929e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Sajólád Község Önkormányzata,Buyer,15726078205,2,0.0010403255,0.38968602,-0.84095895,0.94065946,4.40881,256,0.00035011610541601715,6.747492753091232e-05,0.00017505037165813775,0.33709103,-2.3841858e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
D-Gesztor Építő és Acélszerkezet Gyártó Kft,Winner,13416058205,2,0.022774493,0.3724946,-0.94161713,0.8652441,4.2221646,256,0.010734674727298218,0.0005590588831658754,0.0014927338647268305,0.3174411,1.1920929e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Tiszaújváros Város Önkormányzata,Buyer,15726463205,3,-0.050988384,0.39079136,-0.8696928,0.9838825,4.458774,212,0.005000836899208218,0.0010781471855947035,0.0003212796593521353,0.264862,-5.9604645e-08,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
KARAKTER 95 Építő és Szakipari Kft.,Winner,"11253525215,HU11253525",3,-0.011823032,0.39292744,-1.1183834,0.95279133,4.4474783,212,0.004613668338497576,0.007813385732456865,0.00019910347002022587,0.24040136,1.1920929e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Csomád Község Önkormányzata,Buyer,15734824213,4,-0.022959447,0.37020776,-0.7339707,1.0480713,4.1964693,98,0.0009082643049950057,0.004486846984234352,0.00030295800680436673,0.28775716,1.1920929e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
SKB Kereskedelmi és Szolgáltató Kolrátolt Felelősségű Társaság,Winner,10947894213,4,-0.025419634,0.37070256,-0.9486445,0.9502196,4.2038693,98,0.0,0.0005333775895068378,9.472806267526944e-05,0.31805024,0.0,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Kiskunfélegyháza Város Önkormányzata,Buyer,15724739203,5,-0.013948818,0.38283187,-0.8625972,0.93585694,4.3341227,172,0.004594882156020291,0.0038715500666028726,0.0005798116823434732,0.29628712,1.1920929e-07,KL - Általános közszolgáltatások,N - Regionális/helyi szintű,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
