Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Kaposvár Megyei Jogú Város Önkormányzata,Buyer,15731591214,0,-0.028940955,0.31436896,-0.8103551,0.68837714,3.571719,10,0.006238730616660656,0.0028078831186328377,0.006445922311454297,0.40777373,-5.9604645e-08,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Singer Design Tervező és Beruházó Korlátolt Felelősségű Társaság,Winner,13837316241,0,-0.030963734,0.32808813,-0.8818226,0.71406853,3.7283876,10,0.0,0.0007161084830199163,0.0024598764127140745,0.3969639,2.3841858e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Komló Város Önkormányzat Városgondnokság,Buyer,15555953202,1,0.036580093,0.3889641,-0.741683,0.9667499,4.420044,2,0.0,4.431284987169635e-33,0.004219409282700422,0.39700064,-5.9604645e-08,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Humanpark-D Kereskedelmi és Szolgáltató Kft.,Winner,"14178984217,HU14178984",1,0.035671696,0.39081806,-0.7425197,0.94229966,4.4399815,2,0.0,4.431284987169635e-33,0.004219409282700422,0.4010137,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Budapest Közút Zártkörűen Működő Részvénytársaság,Buyer,23501894243,25,0.0075845085,0.26691517,-0.5899694,0.60464513,3.0210195,17,0.060908763072484676,0.0311346914827813,0.014481834636181433,0.3991027,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
"""KÖZLEKEDÉS"" Fővárosi Tervező Iroda Korlátolt Felelősségű Társaság",Winner,"10336706241,10336706",3,0.023295935,0.24977018,-0.56074345,0.6685889,2.8380919,21,0.0836007933645871,0.06268221067265327,0.006769726119638497,0.39940587,1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Global Terv Korlátolt Felelősségű Társaság,Winner,"14541744242,HU 14541744",25,0.001449008,0.26655322,-0.5240857,0.65409124,3.01575,17,0.0,0.007938912370877512,0.0021722170047609487,0.4158244,-1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
TURA-Terv Mérnökiroda Kft.,Winner,12602908242,25,0.0045301244,0.27517933,-0.5830186,0.7017362,3.1137207,17,0.0,0.007938912370877512,0.0021722170047609487,0.4112475,1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Budapest Főváros XIV. Kerület Zugló Önkormányzata,Buyer,15735777242,25,0.01681387,0.2916357,-0.65015316,0.8002603,3.3049603,17,0.0023981247746123332,0.005160821401328216,0.003811096908867337,0.40126383,3.5762787e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Groupama Biztosító Zártkörűen Működő Részvénytársaság,Winner,"10207349244,HU 10207349",25,0.016459305,0.27605405,-0.57884395,0.76487446,3.1287415,17,0.024864767399927875,0.010154208163718818,0.005471431413353699,0.40402338,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
Somogy Megyei Önkormányzat,Buyer,15731326114,4,0.04733439,0.37551218,-1.1993006,1.0035282,4.282055,3,3.606202668589975e-05,2.237052800625669e-26,0.0061574834075398405,0.40544924,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Szolgáltatás megrendelés,Uniós eljárásrend,Igen,Nem,Igen
