Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Szentendre Város Önkormányzat ,Buyer,15731292213,0,0.00055702124,0.24974123,-0.6132259,0.6637863,2.8255064,21,0.051543322391275626,0.3685476093671466,0.018362644180861077,0.42224622,-1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
DuoLine Kereskedőház és Bútorgyártó BT,Winner,"20478276203,HU20478276",0,-0.009198025,0.255711,-0.6219628,0.5617918,2.894911,21,0.0,0.08357647182846628,0.0023466468714646166,0.4343784,-3.5762787e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
COMESA Budapest Orvosi Műszer és Labortechnikai Kft,Winner,"10365984243,HU10365984",0,-0.019783784,0.24416474,-0.6880126,0.5949804,2.7714617,21,0.0,0.08357647182846628,0.0023466468714646166,0.42866036,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Dental Express Hungaria Kft.,Winner,"10927645241,HU10927645",0,-0.014415456,0.2506763,-0.59807944,0.56115776,2.8407643,21,0.0,0.08357647182846628,0.0023466468714646166,0.4355051,1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Z&É Med kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"10908129242,HU10908129",0,-0.010516864,0.24434415,-0.5909401,0.63316137,2.7669978,21,0.0,0.08357647182846628,0.0023466468714646166,0.43137428,1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Ultragel Hungary 2000 Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"13870975241,HU13870975",0,-0.010032507,0.21919903,-0.59977114,0.6263382,2.4825501,21,0.12853493361429866,0.292437172584932,0.008972255493952494,0.42348748,1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
OMSZÖV-MEDIC Orvostechnikai Fejlesztő Gyártó és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"10957477242,HU10957477",0,-0.0051540965,0.24226257,-0.7112417,0.55401605,2.7415082,21,0.005406113889823162,0.22707472910019524,0.005428793501938015,0.4334398,1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Medicontur Orvostechnikai Korlátolt Felelősségű Társaság,Winner,"10253993213,HU 10253993",0,-0.007006091,0.23507729,-0.69934464,0.52851486,2.660777,21,0.005406113889823162,0.22707472910019524,0.005428793501938015,0.4379183,-1.1920929e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
Budapest Főváros III. kerület Óbuda-Békásmegyer Önkormányzat,Buyer,15735667241,16,-0.021576066,0.27190417,-0.71569693,0.7003698,3.0859144,10,0.04444980697695816,0.130845431242572,0.01845990070318579,0.42573324,2.3841858e-07,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
"ARTMED Kórháztechnikai, Kereskedelmi és Szolgáltató Kft.",Winner,"12223466241,HU12223466,01-09-566520",0,-0.007443601,0.23534748,-0.6364332,0.6719141,2.6639843,21,0.037256760226685004,0.2534769610352374,0.007268649514870596,0.43205598,0.0,KL - Általános közszolgáltatások,U - Regionális vagy helyi hatóság,Árubeszerzés,Uniós eljárásrend,Igen,Nem,Igen
