Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
"BMSK Beruházási, Műszaki Fejlesztési, Sportüzemeltetési és Közbeszerzési Zrt.",Buyer,12464780251,0,-0.011241758,0.25362602,-0.52363074,0.63033295,2.8722682,79,0.13539476318165072,0.7026703202579192,0.042609121734096145,0.41446424,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Falcon Global Zártkörűen Működő Részvénytársaság|OCTOPUS Invest Szolgáltató Korlátolt Felelősségű Társaság,Winner,"26739919243|12525689241,HU12525689",0,-0.003822308,0.2536926,-0.5766334,0.5629923,2.87053,79,0.0,0.0873350794706573,0.0007960271479284184,0.42971784,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Pharos 95 Sportpályaépítő Kft.,Winner,"12073601213,HU12073601",1,-0.015744016,0.31088996,-0.8811145,0.9669396,3.5218258,28,0.016686221292395834,0.10179326007483754,0.006238953356909163,0.38030475,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Modinvest Épitőipari-Beruházó-és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,"10381603203,HU10381603",0,-0.015413681,0.24816296,-0.5941366,0.58533764,2.8130538,79,0.0,0.0873350794706573,0.0007960271479284184,0.42665115,-2.3841858e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
NIF Nemzeti Infrastruktúra Fejlesztő zártkörűen működő Részvénytársaság,Buyer,11906522241,2,-0.02880161,0.270562,-0.6838859,0.60519767,3.0783544,46,0.09391718641174406,0.02238590532255922,0.01937635632514172,0.39588276,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Horváth Építőmester Építőipari Zártkörűen Működő Részvénytársaság,Winner,"23037108203,HU23037108,03-10-100434",2,-0.023361174,0.27017337,-0.70292085,0.69404227,3.0680685,46,0.06236927552765397,0.09303851302614767,0.0026484634267186446,0.3753601,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Budapest Főváros Vagyonkezelő Központ Zrt.,Buyer,12006003241,4,0.00526629,0.30184194,-0.5826833,0.7624788,3.4154718,30,0.06588700618838302,0.00028653012115498915,0.015939148155424833,0.39112592,-1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Perneszy Ingatlanhasznositó- kezelő Zrt,Winner,14188330241,4,0.019944562,0.32419598,-0.6968792,0.7590787,3.6747932,30,0.0014795548142074958,3.6175557832172115e-05,0.001550028964894257,0.38094375,2.3841858e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Mester -Építő Kft.,Winner,"13707824241,HU13707824",0,-0.0053541353,0.2570227,-0.6320829,0.58594656,2.908511,79,0.0,0.0873350794706573,0.0007960271479284184,0.42640066,-1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Fővárosi Csatornázási Művek Zrt.,Buyer,10893850244,5,-0.0024784363,0.33272138,-0.94589895,0.7243716,3.764417,18,0.018866679860149088,0.0005038071002723152,0.010037830897701083,0.39483184,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
PASA SPECIÁL Kft.,Winner,"23507649242,HU23507649",5,-0.010546143,0.3187626,-0.81010735,0.7254362,3.6083603,18,0.0,6.263574009321933e-05,0.0008398577408910529,0.4009666,-5.9604645e-08,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
NFSI Nemzeti Fejlesztési és Stratégiai Intézet Nonprofit Kft.|Országos Bírósági Hivatal,Buyer,25118764241|15795960241,6,0.011859224,0.35751274,-1.0492297,0.84235513,4.0470195,15,0.008759529935069219,1.5265614991382335e-07,0.002249451408747092,0.38809496,0.0,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Pécsi Építő és Tatarozó ZRt,Winner,11004400202,6,0.01172946,0.3389395,-1.0361544,0.83050895,3.8369582,15,0.010158981463157201,1.1880470420421537e-06,0.0014795231298133486,0.3942685,-5.9604645e-08,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Hajdúböszörményi Vagyonkezelő Zrt,Buyer,23572104209,7,-0.020784141,0.35963276,-1.0231541,0.8411206,4.075569,26,0.0,1.3200239416985565e-12,0.0008547007964424692,0.394934,-5.9604645e-08,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
TÖMB 2002 Szolgáltató Korlátolt Felelősségű Társaság,Winner,"22757937209,HU22757937",7,-0.02197574,0.35121512,-0.91540956,0.7183151,3.9813163,26,0.0007868969871740503,5.156696723274462e-12,0.002943134162683439,0.39148194,2.3841858e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
PSS Consulting Kft.|Nodum Tanácsadó Kft.,Winner,23740556213|25726055213,5,-0.010280382,0.32839957,-0.87917197,0.79108906,3.7172372,18,0.0,6.263574009321933e-05,0.0008398577408910529,0.40411058,-1.7881393e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
NFSI Nemzeti Fejlesztési és Stratégiai Intézet Nonprofit Kft.|Belügyminisztérium Országos Katasztrófavédelmi Főigazgatóság,Buyer,25118764241|15722720251,8,-0.040848576,0.4299185,-1.0541613,0.8912708,4.885879,2,0.0,3.9433081859880434e-27,0.0015313935681470138,0.3949408,-5.9604645e-08,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
MOR-EX Üzleti Szaktanácsadó és Kereskedelmi Korlátolt Felelősségű Társaság,Winner,11495149215,8,-0.042487457,0.43630734,-1.0868757,0.9017305,4.959604,2,0.0,3.9433081859880434e-27,0.0015313935681470138,0.3937757,-1.7881393e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
Pápai Víz- és Csatornamű Zrt.,Buyer,11338110219,9,0.014595652,0.4208068,-0.92124206,0.95740837,4.763748,3,4.711958007030241e-06,7.339868974077113e-24,0.002234455048180496,0.39905122,3.5762787e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
"Somló-Innovex Fővállalkozó, Szolgáltató és Kereskedelmi Kft.",Winner,11326164219,9,0.014311599,0.41102737,-0.90700907,0.9269571,4.653062,3,0.0,5.1900711245906756e-24,0.001179862828130273,0.39373115,1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
NFSI Nemzeti Fejlesztési és Stratégiai Intézet Nonprofit Kft.|Növényi Diverzitás Központ,Buyer,25118764241|15779935213,1,-0.007281756,0.31166518,-0.96163255,1.0597068,3.5270514,28,0.0,0.012653864282088511,0.0008185403917591816,0.39156872,-1.1920929e-07,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
BKK Budapesti Közlekedési Központ Zártkörűen Működő Részvénytársaság,Buyer,23028966444,2,0.0015594093,0.28160062,-0.8033694,0.56592214,3.1859963,46,0.04945237641302214,0.002346263861898467,0.006431580956154812,0.3786941,-5.9604645e-08,KL - Egyéb tevékenység:,N - Közjogi szervezet,Építési beruházás,Nemzeti eljárásrend,Igen,Nem,Igen
