Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
Szabolcs-Szatmár-Bereg Megyei Kormányhivatal,Buyer,15789374215,0,-0.004006326,0.36496678,-0.80133426,0.81059575,4.1293764,3,6.493506493506494e-05,4.0466905301678656e-22,0.008244765918570296,0.40691423,1.1920929e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Porsche Lízing és Szolgáltató Korlátolt Felelősségű Társaság,Winner,"10880652244,HU10880652",0,-0.0046172813,0.35809445,-0.8193455,0.8085851,4.051713,3,0.0,2.8614423152450826e-22,0.004352193311901292,0.4183171,-2.9802322e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Heves Megyei Kormányhivatal,Buyer,15789329210,1,-0.06376327,0.38229886,-1.2121743,1.0371603,4.384966,3,6.493506493506494e-05,4.0466905301678656e-22,0.008244765918570296,0.41611725,2.3841858e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Jász-Plasztik Autócentrum Kft,Winner,12939525216,1,-0.06266464,0.3723631,-1.1754736,1.0138226,4.272047,3,0.0,2.8614423152450826e-22,0.004352193311901292,0.41094273,-5.9604645e-08,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Észak-magyarországi Vízügyi Igazgatóság,Buyer,15308445205,2,0.010868104,0.3528113,-0.7740204,0.883425,3.9934976,4,0.0001948051948051948,2.157007146701642e-17,0.010839814323016303,0.41330576,-5.9604645e-08,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
"Régió Terv Regionális Tervezési, Fejlesztési és Innovációs Korlátolt Felelősségű Társaság",Winner,"13329170209, HU13329170",2,0.010788089,0.34725112,-0.77760977,0.89539796,3.9305933,4,0.0,1.2453486567921396e-17,0.003919685244493624,0.41746253,1.1920929e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
MARGITTA-93. Kereskedelmi Korlátolt Felelősségű Társaság,Winner,11027683203,2,0.01174213,0.3533455,-0.76813465,0.9202586,3.9998548,4,0.0,1.2453486567921396e-17,0.003919685244493624,0.41681948,-2.3841858e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Üllő Város Önkormányzata,Buyer,15730679213,4,-0.06854938,0.291634,-0.7293594,0.681815,3.3893838,16,0.014805194805194806,0.022972237320224513,0.016413203029414562,0.4227131,1.1920929e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Balázs-Diák Kft.,Winner,"13446976241,HU13446976",4,-0.051488258,0.26945868,-0.6225735,0.6120995,3.1037323,16,0.015064935064935066,0.03645147080495822,0.005368409697531471,0.42869055,-5.9604645e-08,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
Budapest Főváros Főpolgármesteri Hivatal,Buyer,15490012241,5,0.0032694023,0.30068192,-0.7441171,0.61499596,3.4020286,11,0.020097402597402596,0.6113953947070652,0.022420329757925798,0.42796877,-1.7881393e-07,KL - Egyéb tevékenység:,N - Regionális/helyi szintű,Árubeszerzés,Nemzeti eljárásrend,Igen,Nem,Igen
