Node,Winner_or_Buyer,Tax_ID,Community,Embedding_Mean,Embedding_Std,Embedding_Min,Embedding_Max,Embedding_L2_Norm,Community_Size,Betweenness_Centrality,Eigenvector_Centrality,PageRank,Avg_Similarity_To_Others,Max_Similarity_To_Others,Ajánlatkérő szervezet főtevékenysége,Ajánlatkérő szervezet típusa,Szerződés típusa,Eljárásrend,Minőségi kritérium alkalmazásra került,Költség kritérium alkalmazásra került,Ár kritérium alkalmazásra került
INNOVA Észak-Alföld Regionális Fejlesztési és Innovációs Ügynökség Nonprofit Kft.,Buyer,14197053209,0,-0.033474937,0.4014069,-0.97247714,0.84457564,4.5571647,2,0.0,9.506234862977166e-16,0.002849002849002849,0.40116817,3.5762787e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
LÁTVÁNYOS Kereskedelmi és Szolgáltató Egyéni Cég,Winner,24479231209,0,-0.032423496,0.39895156,-0.9481581,0.8526724,4.5285034,2,0.0,9.506234862977166e-16,0.002849002849002849,0.39485663,-5.9604645e-08,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Pécsi Tudásközpont Korlátolt Felelősségű Társaság,Buyer,22781622202,1,-0.01583457,0.3726199,-0.92357266,0.8669806,4.2195177,4,3.274662300450266e-05,4.696806280547303e-12,0.003698705453091419,0.4040224,-4.172325e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Nemzetközi Testőr Biztonságszolgálati Kft|T.A.X. Team Security Kft.,Winner,"10386921242,HU10386921,01-09-067210|11972411243,HU11972411.",1,-0.014306076,0.37347704,-0.9547141,0.8881796,4.2285094,4,3.274662300450266e-05,4.696806280547303e-12,0.003698705453091419,0.40487707,-1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Budapest Fegyház és Börtön,Buyer,15752057251,2,0.0052329637,0.4095626,-0.8860227,1.0825336,4.63405,2,0.0,9.506234862977166e-16,0.002849002849002849,0.38832635,-2.3841858e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
"SZAT MED-INFO Egészségügyi, Informatikai és Gazdasági Korlátolt Felelősségű Társaság",Winner,25090228141,2,0.00553065,0.40408507,-0.8454585,1.1116,4.572129,2,0.0,9.506234862977166e-16,0.002849002849002849,0.3983593,-1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Országgyűlés Hivatala,Buyer,15300014241,3,-0.02498857,0.3382165,-0.87987655,0.9478158,3.8369129,11,0.0007204257060990586,4.879742825697403e-06,0.013089321879967806,0.40529725,-1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Schiller Autóház Korlátolt felelősségű Társaság|SUPER-AUTOMOBIL Korlátolt Felelősségű Társaság,Winner,"10260999241,HU10260999241|10854477241,HU10854477241",3,-0.014024681,0.33136582,-0.81956506,0.9570124,3.752333,11,0.0,1.6155692650995338e-06,0.0016627477672964512,0.41184416,-1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
Székesfehérvári Városfejlesztési Közhasznú Nonprofit Korlátolt Felelősségű Társaság,Buyer,14625651207,4,-0.021257706,0.37729725,-0.970547,0.8038436,4.275401,4,4.911993450675399e-05,2.054420640773817e-11,0.005468266305863864,0.39834568,0.0,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
T.A. Group Eco Korlátolt Felelősségű Társaság,Winner,14088591207,4,-0.029193643,0.36736298,-0.8846836,0.82357514,4.169341,4,0.0,1.1861203099794865e-11,0.0019759150300491775,0.40642262,-1.1920929e-07,KL - Egyéb tevékenység:,U - Egyéb típus:,Szolgáltatás megrendelés,Nemzeti eljárásrend,Igen,Nem,Igen
